ID	PV-46	PV-9	CR-46	CR-9	CB-46	CB-9
C-5	20.51	30.16	40.4	41.2	29.1	17.1
C-6	5.12	13.36	48.1	43.4	19	20
C-11	31.82	33.51	52.4	46.8	25.7	18.9
C-12	7.9	17	13.49	25.7	4.04	3.83
C-15	12.9	23.4	35.5	37.2	16.9	22.1
C-18	20.06	23.9	23.1	34.8	20.1	19.6
C-20	27.19	41.93	41.2	41.1	29.6	26.2
C-22	22.3	27.37	44.02	45.4	32.6	25.2
C-25	43.84	36.77	42.35	45.3	29.9	22.8
C-27	24.49	26.2	23.9	26.9	23.5	14
C-28	23.38	25.22	46.2	38.1	23	22.4
C-29	21.3	28.26	31.2	40.3	22.1	17.6
C-35	31.24	35.29	55.31	49.9	25.3	27.7
C-43	25.87	29.36	37.9	44.8	21.7	24.8
C-48	39.86	30.09	61.31	51.2	20.9	16.7
C-2	15.76	21.48	48	44.2	25.4	18.2
C-7	29.64	34.3	36.3	50.3	22.8	19
C-10	24.25	26.9	38.9	36.6	21.9	14.1
C-14	23.4	28.09	43.05	42.6	33.6	35.4
C-30	41.19	28.85	37.8	26.7	29.2	18.1
C-32	28.74	28.23	31.9	34	22.4	18.2
C-34	34.91	37.93	40.9	42.2	28.7	32
C-36	21.51	33.78	47.6	34.7	35.3	24.6
C-44	23.18	27.34	37.1	35.4	28.5	25.1
C-46	23.31	18.48	25.89	32.3	16.2	12.6
C-50	40.4	30.95	39.5	39.5	35.9	27.3
C-53	23.59	33.66	35.05	38.4	29.2	21.5
C-55	19.93	26.27	33.02	44	20.8	21.9
C-56	23.35	34.24	46.5	42.7	25	22.4
C-57	22.18	28.87	25.4	40.5	27.2	17.8
C-13	33.08	37.25	40.8	39.8	30.7	28
C-19	29.54	39.56	31.18	39.2	35.3	32.3
C-21	38.37	36.14	45.69	45.4	42.4	39.6
C-26	31.88	38.95	45.1	42.8	29.3	23.9
C-40	34.92	40.71	47.8	44.9	20.3	20
C-41	27.76	33.08	48.24	44.9	27.4	24.7
C-42	21.81	27.61	48.7	38.2	15.5	16.7
C-45	31.53	35.52	48.5	46.4	28.3	36.1
C-47	26.26	30.35	38.3	38.2	25.3	26.5
C-49	22.82	29.63	31.8	39.7	24.4	25.8
C-51	12.2	20.85	55.2	45.4	30.6	24.9
C-52	44.17	33.64	45.3	42.3	38.5	35.4
C-54	29.53	27.83	30.5	37.7	22.2	19
C-59	26.34	33.09	44	47.2	18	20.1
C-60	21.21	28.47	47.5	34	25.3	23.5
C-1	23.14	22.7	41.4	38.9	17.5	14.9
C-3	10.77	21.39	23.78	41	13.4	11.6
C-4	23.15	29.6	25.76	41.5	17	11.5
C-8	36.32	34.55	49.3	50.2	20	17.5
C-9	31.37	29.44	50.3	46.6	39.1	17.1
C-16	30.51	35.97	42.1	40.4	28.5	41
C-17	19.1	27.17	43.36	42.4	27.2	23
C-23	9.75	22.15	39.18	41.8	12.4	9.88
C-24	5.47	15.36	18.22	20.5	5.55	3.01
C-31	22.89	26.08	33.92	34.1	28.6	36.9
C-33	29.93	28.57	36.5	45.1	25	29.8
C-37	16.56	31.59	36.2	38.1	16.3	18.4
C-38	25.99	34.11	44.3	41.8	23.8	21.5
C-39	25.46	34.48	51.3	44.7	33.2	17.9
C-58	16.7	28.47	50.8	43	22.8	18.4
