Probe	GeneSymbol	GeneFunction	Description	Brain expression	Model	PvalueDown	QvalueDown	FoldChange	AgeGene	pHGene	CellType	Probe Specificity
210720_s_at	NECAB3	Signal transduction	neuronal calcium binding protein; inhibits the association of X11L with amyloid precursor protein	highly	2	6.89E-07	6.17E-03	0.92				Non-specific
212646_at	RFTN1	Cell maintenance/ biogenesis	formation/maintenance of lipid rafts	n/a	2	8.33E-07	6.17E-03	0.91	X		oligodendrocyte	
213924_at	Unknown	Unknown	---		2	7.31E-07	6.17E-03	0.89				Insensitive
206355_at	GNAL	Signal transduction	modulator in various transmembrane signaling systems; mediating neurotransmitter effects	present 	2	1.67E-06	7.42E-03	0.87			neuron	Insensitive
220807_at	HBQ1	Oxygen transport	globin family; oxygen transport	n/a	2	1.37E-06	7.42E-03	0.91	X			
220741_s_at	PPA2	Metabolic process	phosphate metabolism with N-terminal targeting to mitochondrial matrix	"highly (neuroendocrine, pituatary)"	3	2.58E-06	9.55E-03	0.92				
205694_at	TYRP1	Metabolic process	melanosomal enzyme	n/a	2	3.78E-06	1.20E-02	0.88				Insensitive
219032_x_at	OPN3	Signal transduction	GPCR pathway; possible entrainment of circadian rhythms	present	2	9.76E-06	2.71E-02	0.89			neuron	Insensitive
205510_s_at	GABPB1|FLJ10038	Unknown	---		2	1.11E-05	2.74E-02	0.93				
212987_at	FBXO9	Ubiquitination	phosphorylation dependent ubiquitination; component of E3 ubiquitin protein ligase complex	present	fullModel	1.48E-05	3.28E-02	0.88	X			Insensitive
202596_at	ENSA	Energy Metabolism; Oxidative Phosphorylation	regulator of ATP channel; coupling cell metabolism to electrical activity	highly	fullModel	2.65E-05	4.20E-02	0.90	X		neuron	Insensitive
203719_at	ERCC1	Cell maintenance/ biogenesis	DNA repair	n/a	2	2.31E-05	4.20E-02	0.94				
218328_at	COQ4	Oxidative phosphorylation	ubiquinone biosynthesis protein (a component of the ETC)	present	4	2.35E-05	4.20E-02	0.93				
218653_at	SLC25A15	Energy metabolism	mitochondrial orthinine transporter (urea cycle)	n/a	2	2.58E-05	4.20E-02	0.94				
206290_s_at	RGS7	Signal transduction	crucial regulator of GPCR signaling in visual and nervous systems	highly (neuron)	2	3.23E-05	4.36E-02	0.89	X			Non-specific
218262_at	RMND5B	Cell maintenance/biogenesis	suggestive role in meiosis	highly (hypothalamus)	2	3.06E-05	4.36E-02	0.95				
219825_at	CYP26B1	Oxidative Phosphorylation	electron transport	present	fullModel	3.33E-05	4.36E-02	0.86	X		neuron	
206356_s_at	GNAL	Signal transduction	modulator in various transmembrane signaling systems; mediating neurotransmitter effects	present	2	3.95E-05	4.81E-02	0.90			neuron	
219982_s_at	SERF1B|SMA4|SERF1A|GUSBP1|SERF1B|SERF1A	Unknown	---		3	4.11E-05	4.81E-02	0.89				
203851_at	IGFBP6	Cell maintenance/ biogenesis; Signal transduction	cytokine growth factor; cell growth and/or maintenance	predominantly CSF and serum	2	4.51E-05	5.00E-02	0.91				
203349_s_at	ETV5	Oxidative phosphorylation; Energy metabolism	TF; proto-oncogene; important role in development	present	2	6.70E-05	6.76E-02	0.92	X		astrocyte	Insensitive
205413_at	MPPED2	Development	fetal brain protein 239; neurogenesis	highly	fullModel	6.64E-05	6.76E-02	0.89	X			
219997_s_at	COPS7B	Ubiquitination; Signal Transduction	component of a signalosome complex; modulating multiple signaling pathways	present	4	7.54E-05	7.28E-02	0.97				
206209_s_at	CA4	Metabolic process; Ion transport	carbonic anhydrase; cellular ion transport and pH homeostasis	n/a	fullModel	9.34E-05	7.41E-02	0.92	X			
206215_at	OPCML	Cell adhesion; Neurotransmission	 synaptic cell adhesion molecule; regulated in response to neuronal activity; possible role in proliferation  in cortical astrocytes	"highly (cerebral cortex, cerebellum)"	2	8.68E-05	7.41E-02	0.94	X		oligodendrocyte	
207949_s_at	ICA1	Signal transduction; Neurotransmitter transport	insulin dependent diabetes antigen; neurotransmitter transport (inferred)	highly	2	9.05E-05	7.41E-02	0.95	X			
209871_s_at	APBA2	Neurotransmission	neuronal gene with putative function in synaptic exocytosis	present (neuronal)	5	8.76E-05	7.41E-02	0.95				
215003_at	DGCR5	Unknown	---		fullModel	8.91E-05	7.41E-02	0.93				
201190_s_at	PITPNA	Neurotransmission; Signal transduction	signaling transport protein; required for Ca activated secretion	present	fullModel	1.11E-04	7.54E-02	0.93	X			
201310_s_at	C5orf13	Neurotransmission	may have roles in neural function; promotes axonal regeneration (by similarity)	n/a	2	1.13E-04	7.54E-02	0.93	X			
201694_s_at	EGR1	Transcription; Translation	TF for target genes required for mitogenesis and differentiation; regulator of inflammatory and immune processes; expression is regulated by synaptic activity	present	2	1.09E-04	7.54E-02	0.89				
202688_at	TNFSF10	Signal transduction	signaling cytokine; cell death/apoptosis	n/a	3	1.16E-04	7.54E-02	0.83				
204000_at	GNB5	Signal transduction	G-protein; interact with RGS family of proteins	highly	4	1.14E-04	7.54E-02	0.94	X	X		
205489_at	CRYM	Metabolic process	thyroid binding protein; involved in normal auditory function; associated with neurosensory deafness	present	fullModel	1.14E-04	7.54E-02	0.87	X		neuron	
221983_at	FAM134A		potential proto-oncogene	n/a	3	1.19E-04	7.54E-02	0.93				
202322_s_at	GGPS1	Metabolic process	synthesis of prenylated proteins	present	5	1.58E-04	8.55E-02	0.95				Non-specific
203769_s_at	STS	Metabolic process	sulfatase family; intra-mitochondrial movement of cholesterol	n/a	3	1.54E-04	8.55E-02	0.91				
205003_at	DOCK4	Signal transduction	intracellular signaling; activator of small G-proteins; potential function in dendritic morphogenesis in hippocampal neurons	present	3	1.57E-04	8.55E-02	0.95				
208870_x_at	ATP5C1	Oxidative phosphorylation	ATP synthase; component of complex required for oxidative phosphorylation	present	fullModel	1.51E-04	8.55E-02	0.93				
